CreateMoji: string='廊下', dSizeY=3.000000, nMojiShu=0, layer='文字室名', x=-237.540794, y=-43.293476
CreateMoji: string='割付基準', dSizeY=1.875000, nMojiShu=0, layer='A-_005-割付基準', x=-270.192963, y=24.124247
CreateMoji: string='割付基準', dSizeY=1.875000, nMojiShu=0, layer='A-_005-割付基準', x=-321.755303, y=-16.369156
CreateMoji: string='割付基準', dSizeY=1.875000, nMojiShu=0, layer='A-_005-割付基準', x=-225.564036, y=-38.809766
CreateMoji: string='割付基準', dSizeY=1.875000, nMojiShu=0, layer='A-_005-割付基準', x=-270.192963, y=-146.593787
CreateMoji: string='割付基準', dSizeY=1.875000, nMojiShu=0, layer='A-_005-割付基準', x=-319.670458, y=-94.181656
CreateMoji: string='補強脚', dSizeY=1.875000, nMojiShu=0, layer='B01-寸法', x=-270.876133, y=-14.996811
CreateMoji: string='補強脚', dSizeY=1.875000, nMojiShu=0, layer='B01-寸法', x=-298.374018, y=-45.936704
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=1.875000, nMojiShu=0, layer='B01-寸法', x=-340.235074, y=-153.429002
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=1.875000, nMojiShu=0, layer='B01-寸法', x=-241.555458, y=-149.659866
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=1.875000, nMojiShu=0, layer='B01-寸法', x=-334.716662, y=-26.362901
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=1.875000, nMojiShu=0, layer='B01-寸法', x=-237.882850, y=-92.882507
CreateMoji: string='型式', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-94.580992, y=47.800192
CreateMoji: string='パネル姿図', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-98.205616, y=13.396695
CreateMoji: string='A500RA', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-65.434080, y=47.800192
CreateMoji: string='タジマセイデンタイルC', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-74.565574, y=43.933862
CreateMoji: string='6000Nタイプ', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-68.477911, y=32.652454
CreateMoji: string='□500×500×35(四隅33.5)', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-76.391873, y=36.375603
CreateMoji: string='500', dSizeY=0.937500, nMojiShu=0, layer='B01-寸法', x=-80.820604, y=9.406282
CreateMoji: string='500', dSizeY=0.937500, nMojiShu=0, layer='B01-寸法', x=-62.603317, y=28.994074
CreateMoji: string='33.5', dSizeY=0.937500, nMojiShu=0, layer='B01-寸法', x=-42.286271, y=30.056905
CreateMoji: string='アルミダイカスト', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-71.521743, y=40.161294
CreateMoji: string='(尺度 1:10)', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-98.814382, y=9.716159
CreateMoji: string='表面材', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-95.798524, y=43.933862
CreateMoji: string='材質', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-94.580992, y=40.161294
CreateMoji: string='寸法', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-94.580992, y=36.388726
CreateMoji: string='パネル強度', dSizeY=1.880000, nMojiShu=6, layer='B01-寸法', x=-98.233589, y=32.616159
CreateMoji: string='35', dSizeY=0.937500, nMojiShu=0, layer='B01-寸法', x=-38.373224, y=23.153036
CreateMoji: string='タジマセイデンタイルC', dSizeY=1.640625, nMojiShu=0, layer='B-_01-寸法', x=-36.344373, y=0.809922
CreateMoji: string='床板ボーダー部取合図　尺度１：５', dSizeY=2.500000, nMojiShu=0, layer='B01-寸法', x=-135.007982, y=-84.679508
CreateMoji: string='床板ボーダー部取合図　尺度１：５', dSizeY=2.500000, nMojiShu=0, layer='B01-寸法', x=-156.479470, y=-158.367999
CreateMoji: string='@500', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-103.284610, y=-28.385034
CreateMoji: string='3', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-163.300922, y=-22.082637
CreateMoji: string='切欠合せボーダー部', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-152.856224, y=-23.581523
CreateMoji: string='フリーアクセス部', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-109.859285, y=-23.619594
CreateMoji: string='H=200㎜', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-74.566585, y=-62.606968
CreateMoji: string='ネオプレンゴム3ｔ', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-158.171937, y=-42.358751
CreateMoji: string='アルミライナー3t', dSizeY=1.870000, nMojiShu=4, layer='B-_01-寸法', x=-155.527428, y=-116.709917
CreateMoji: string='ネオプレンゴム3t', dSizeY=1.870000, nMojiShu=4, layer='B-_01-寸法', x=-157.781369, y=-113.398108
CreateMoji: string='@500', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-126.029882, y=-108.753298
CreateMoji: string='切欠合せボーダー部', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-162.466517, y=-103.831513
CreateMoji: string='フリーアクセス部', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-132.623548, y=-103.987858
CreateMoji: string='3', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-167.299120, y=-102.252558
CreateMoji: string='H=200㎜', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-98.703219, y=-140.990276
CreateMoji: string='160㎜未満', dSizeY=1.870000, nMojiShu=4, layer='B01-寸法', x=-158.016271, y=-106.841486
CreateMoji: string='M20　端部用調整台', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-151.975670, y=-57.799675
CreateMoji: string='芯ずれネジ脚', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-153.282704, y=-65.396659
CreateMoji: string='□100×3.2t', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-153.425462, y=-79.155848
CreateMoji: string='L-40×40×3', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-153.585139, y=-122.898283
CreateMoji: string='ビス止め', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-154.340835, y=-119.727358
CreateMoji: string='160㎜以上', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-147.596352, y=-26.698131
CreateMoji: string='< ウイスカ対策品 >', dSizeY=2.187500, nMojiShu=0, layer='B01-寸法', x=-124.246889, y=-89.462692
CreateMoji: string='< ウイスカ対策品 >', dSizeY=2.187500, nMojiShu=0, layer='B01-寸法', x=-145.659959, y=-162.826369
CreateMoji: string='タジマセイデンタイルC', dSizeY=1.875000, nMojiShu=0, layer='B-_01-寸法', x=-100.258009, y=-38.906968
